timestamp,project,domain,url,serp_score,technical_score,content_score,eeat_score,speed_score,lvi
2025-10-19T22:13:15,ASI consulting ,https://www.asi-c.co.uk,https://www.asi-c.co.uk,40,85,15,40,60,47
2025-10-19T22:13:16,ASI consulting ,https://www.asi-c.co.uk,https://www.asi-c.co.uk,40,85,15,40,60,47
